id,first_name,last_name,birthdate,gender,department,jobtitle,location,hire_date,termdate,location_city,location_state
00-0778934,Gareth,MacCook,2/21/1987,Female,Legal,Senior Attorney,Remote,2/18/2010,,Flint,Michigan
00-0794247,Scottie,Chestney,2/23/1972,Female,Engineering,Data Visualization Specialist,Headquarters,07-03-02,,Cleveland,Ohio
00-0948136,Christophorus,Boseley,5/23/1983,Female,Marketing,Senior Editor,Headquarters,09-06-07,,Cleveland,Ohio
00-0971612,Arleyne,Froome,08-01-99,Male,Engineering,Software Consultant,Headquarters,04-09-15,,Cleveland,Ohio
00-1051096,Todd,Cashen,6/19/1999,Female,Accounting,Financial Analyst,Remote,6/20/2014,,Pittsburgh,Pennsylvania
00-1052230,Elmo,McNee,12/16/1988,Female,Services,Service Manager,Headquarters,7/18/2002,2006-05-22 20:14:26 UTC,Cleveland,Ohio
00-1100714,Regen,Nafzger,04-06-90,Male,Human Resources,Senior Recruiter,Headquarters,7/23/2016,2022-07-12 02:26:01 UTC,Cleveland,Ohio
00-1147503,Penelope,Wenman,12/19/1994,Male,Business Development,Research Assistant II,Headquarters,09-10-19,,Cleveland,Ohio
00-1189819,Rudolf,Reichardt,06-05-79,Male,Business Development,Business Analyst,Remote,05-07-07,2022-02-25 03:21:03 UTC,Philadelphia,Pennsylvania
00-1222963,Tobiah,Fruchon,10/17/1991,Female,Services,Service Tech II,Headquarters,2/13/2011,,Cleveland,Ohio
00-1268049,Fay,Monnelly,07-09-66,Male,Engineering,Software Engineer I,Headquarters,2/24/2010,2030-03-21 03:56:25 UTC,Cleveland,Ohio
00-1277358,Lola,Burrells,10-02-73,Male,Human Resources,Senior Recruiter,Remote,03-08-08,2024-10-09 10:07:08 UTC,Pittsburgh,Pennsylvania
00-1284831,Hamel,Edgeler,12/22/1973,Male,Human Resources,HR Manager,Headquarters,08-08-01,2007-10-31 20:13:44 UTC,Cleveland,Ohio
00-1331085,Shalne,Berntssen,5/20/1979,Female,Business Development,Research Assistant II,Headquarters,12/19/2008,,Cleveland,Ohio
00-1418617,Nefen,Russan,2/18/1997,Female,Training,Trainer III,Headquarters,1/21/2007,,Cleveland,Ohio
00-1451930,Woodie,Hayhow,1/18/1995,Female,Engineering,Programmer III,Remote,08-04-01,,Madison,Wisconsin
00-1485605,L;urette,Stango,4/13/1991,Male,Training,Training Manager,Remote,11/29/2016,,Canton,Ohio
00-1499371,Claude,Ales0,4/29/1984,Female,Sales,Pre-Sales Consultant,Remote,3/31/2014,,Youngstown,Ohio
00-1557949,Virginia,Teligin,12/25/1982,Female,Engineering,Data Coordiator,Headquarters,6/27/2014,,Cleveland,Ohio
00-1695354,Starr,Yitzhok,04-11-98,Female,Training,Administrative Assistant II,Headquarters,7/14/2011,,Cleveland,Ohio
00-1722938,Perla,Durrand,03-11-76,Male,Sales,Relationshiop Manager,Headquarters,01-01-14,2023-01-10 00:20:48 UTC,Cleveland,Ohio
00-1728402,Mahala,McTrustie,06-07-74,Female,Business Development,Research Assistant II,Headquarters,4/15/2015,,Cleveland,Ohio
00-1735797,Hobart,Bertrand,3/22/1997,Female,Business Development,Research Assistant II,Headquarters,9/17/2019,,Cleveland,Ohio
00-1792130,Nobe,Leathe,7/23/1993,Male,Engineering,Developer III,Headquarters,1/23/2011,2024-12-07 02:16:22 UTC,Cleveland,Ohio
00-1830166,Peta,Gosson,06-02-75,Female,Human Resources,Human Resources Analyst,Headquarters,06-02-07,,Cleveland,Ohio
00-1861400,Ninnette,Batter,03-11-93,Male,Business Development,Research Assistant II,Headquarters,02-04-08,,Cleveland,Ohio
00-1877605,Bibbie,Matteoli,6/18/1997,Male,Support,Desktop Support Technician,Headquarters,05-05-08,2024-03-02 16:38:02 UTC,Cleveland,Ohio
00-1892609,Averell,Paintain,10/25/1971,Female,Research and Development,Operator,Headquarters,01-02-13,,Cleveland,Ohio
00-1954462,Marcel,Fowkes,6/18/1993,Male,Accounting,Tax Accountant,Headquarters,7/20/2008,,Cleveland,Ohio
00-1957612,Artus,Cawcutt,2/28/1970,Female,Services,Service Tech III,Headquarters,07-08-05,2012-08-01 16:03:54 UTC,Cleveland,Ohio
00-2010536,Emili,Cowl,05-10-78,Male,Engineering,Senior Developer,Headquarters,7/30/2009,,Cleveland,Ohio
00-2209303,Edeline,Painten,3/16/1978,Male,Services,Service Coordinator,Headquarters,1/17/2011,,Cleveland,Ohio
00-2228674,Meggi,Mc Ilory,09-09-87,Male,Training,Senior Trainer,Remote,11/30/2005,,Scranton,Pennsylvania
00-2229651,Giordano,Muckian,8/21/1984,Female,Business Development,Research Assistant I,Remote,04-11-04,,Akron,Ohio
00-2260658,Nickolas,Coopey,5/21/1978,Male,Support,Support Staff II,Headquarters,01-02-01,,Cleveland,Ohio
00-2301130,Corrina,Blooman,10/19/1971,Female,Services,Service Manager,Remote,7/28/2013,,Detroit,Michigan
00-2334565,Odey,Brough,12/19/1992,Male,Engineering,Systems Administrator I,Remote,8/27/2011,,Flint,Michigan
00-2367299,Lenka,Astridge,12-01-00,Male,Human Resources,Human Resources Analyst,Headquarters,8/13/2019,,Cleveland,Ohio
00-2509034,Gunar,Dinkin,11/27/1988,Male,Training,Content Developer III,Headquarters,12/19/2017,,Cleveland,Ohio
00-2607971,Gale,Dreossi,6/16/1972,Male,Auditing,Internal Auditor,Headquarters,02-02-06,2018-07-01 03:10:13 UTC,Cleveland,Ohio
00-2623755,Chrysa,Brownell,4/25/1983,Male,Engineering,Administrative Officer,Headquarters,2/22/2018,2027-02-01 04:34:24 UTC,Cleveland,Ohio
00-2637590,Britte,Royds,03-06-80,Male,Training,Assistant Trainer,Headquarters,05-05-16,,Cleveland,Ohio
00-2682864,Bil,Wanden,6/28/1982,Male,Engineering,Programmer Analyst I,Headquarters,2/24/2009,,Cleveland,Ohio
00-2704725,Ronda,Dictus,11/28/1975,Female,Training,Trainer II,Headquarters,12-07-03,,Cleveland,Ohio
00-2709445,Loree,Neno,1/16/1977,Female,Research and Development,Operator,Headquarters,4/26/2017,,Cleveland,Ohio
00-2773154,Teena,Tolan,09-11-92,Male,Human Resources,Recruiter,Headquarters,02-11-14,,Cleveland,Ohio
00-2861998,Karine,Seage,09-07-66,Male,Training,Trainer III,Headquarters,08-12-17,,Cleveland,Ohio
00-2874422,Diandra,Bourget,04-06-71,Male,Human Resources,Recruiter,Remote,7/26/2003,2015-01-14 06:02:41 UTC,Cleveland,Ohio
00-2889513,Dodi,Caves,07-05-99,Male,Business Development,Research Assistant I,Remote,11/16/2004,,Levittown,Pennsylvania
00-2950779,Hyman,Dancey,4/23/1981,Female,Training,Support Staff,Remote,06-10-15,,Palatine,Illinois
00-3008455,Rourke,Dawkins,9/26/1969,Male,Business Development,Business Analyst,Headquarters,10/28/2007,,Cleveland,Ohio
00-3020430,Northrup,Arendt,12-01-01,Male,Services,Research Associate,Remote,09-06-11,,Columbus,Ohio
00-3030708,Guntar,Arro,4/22/1997,Female,Business Development,Research Assistant II,Headquarters,11/16/2020,,Cleveland,Ohio
00-3052411,Midge,Orpyne,01-04-84,Female,Engineering,Senior Quality Engineer,Headquarters,7/21/2010,,Cleveland,Ohio
00-3105004,Isador,Crady,06-08-68,Female,Training,Assistant Trainer,Headquarters,11/19/2020,,Cleveland,Ohio
00-3135807,Nichol,Dionisii,8/28/1994,Female,Business Development,Research Assistant II,Headquarters,2/19/2017,,Cleveland,Ohio
00-3138749,Dorey,Diperaus,12/20/1978,Male,Sales,Customer Success Manager,Headquarters,04-06-06,,Cleveland,Ohio
00-3208324,Lanie,Plewes,7/25/1992,Female,Support,Help Desk Technician,Remote,03-01-08,,East Saint Louis,Illinois
00-3214670,Mahmoud,De L'Isle,09-04-90,Male,Accounting,Accounting Assistant III,Headquarters,03-06-10,,Cleveland,Ohio
00-3217869,Carlynne,Gouldthorpe,04-11-68,Female,Accounting,Staff Accountant I,Headquarters,8/17/2009,,Cleveland,Ohio
00-3334414,Modesta,Lanktree,2/13/1997,Female,Engineering,Senior Developer,Headquarters,4/30/2002,,Cleveland,Ohio
00-3341718,Tildie,Ranvoise,8/13/1982,Male,Engineering,Software Engineer III,Headquarters,8/21/2007,,Cleveland,Ohio
00-3389894,Tallulah,Dowty,1/26/1983,Male,Engineering,Software Engineer I,Headquarters,02-02-06,,Cleveland,Ohio
00-3402094,Addie,Coldman,07-10-02,Female,Engineering,Senior Developer,Headquarters,9/25/2011,,Cleveland,Ohio
00-3457300,Eleanore,Pudner,12/13/1996,Female,Engineering,Senior Developer,Headquarters,2/28/2002,,Cleveland,Ohio
00-3492248,Carlene,Goldwater,1/19/1975,Female,Business Development,Business Analyst,Remote,2/25/2019,,Chicago,Illinois
00-3597335,Amara,Jacobs,6/14/1982,Male,Sales,Solutions Engineer,Remote,02-07-06,,Columbus,Ohio
00-3679205,Heall,Conville,05-08-94,Male,Training,Administrative Assistant I,Remote,11-12-10,,Detroit,Michigan
00-3739286,Jake,Dawdry,2/26/1993,Male,Engineering,Software Engineer II,Headquarters,9/30/2019,,Cleveland,Ohio
00-3744044,Maribelle,Bisson,6/22/1998,Female,Training,Assistant Trainer,Remote,1/21/2016,,Milwaukee,Wisconsin
00-3758963,Calypso,Connold,9/27/1984,Female,Business Development,Business Analyst,Remote,11/22/2001,,Harrisburg,Pennsylvania
00-3855769,Tanitansy,Fancett,5/30/1995,Female,Human Resources,Human Resources Analyst,Headquarters,10/31/2005,,Cleveland,Ohio
00-3860994,Allyce,Giacobazzi,04-04-69,Male,Marketing,Media Manager I,Headquarters,12/27/2019,2022-12-26 02:31:43 UTC,Cleveland,Ohio
00-3961040,Filberte,Morant,10/27/1977,Male,Engineering,Web Developer I,Headquarters,03-06-02,,Cleveland,Ohio
00-3964552,Sergei,Glidden,2/15/1996,Male,Product Management,Project Manager,Headquarters,11-04-16,,Cleveland,Ohio
00-3987484,Chelsy,Clacey,09-12-91,Female,Training,Training Manager,Headquarters,1/30/2006,2021-07-23 05:08:46 UTC,Cleveland,Ohio
00-4123013,Romy,Sandever,1/20/1969,Male,Research and Development,Research Assistant I,Remote,08-12-11,,Springfield,Ohio
00-4202411,Rorie,Rice,3/13/1982,Male,Engineering,Data Coordiator,Headquarters,7/16/2014,,Cleveland,Ohio
00-4254147,Karel,Gullen,12/18/1993,Male,Sales,Relationshiop Manager,Remote,03-08-13,,Dayton,Ohio
00-4259069,Marcela,Bostock,01-09-79,Male,Engineering,Automation Specialist I,Headquarters,01-01-05,,Cleveland,Ohio
00-4464648,Agretha,Brunning,2/15/1978,Female,Engineering,Senior Developer,Headquarters,4/28/2017,,Cleveland,Ohio
00-4481784,Willdon,Pirozzi,3/28/1997,Female,Support,Support Staff,Remote,03-12-16,,Aurora,Illinois
00-4521988,Paddie,Mallebone,11/22/1967,Male,Human Resources,Recruiter,Remote,07-04-16,,Youngstown,Ohio
00-4585118,Karina,Slocum,9/19/1993,Female,Services,Service Tech,Headquarters,12/23/2018,,Cleveland,Ohio
00-4609499,Gun,Heathorn,10/30/1978,Male,Services,Service Tech III,Remote,12/25/2015,,Fort Wayne,Indiana
00-4634919,Dario,Renshall,01-07-71,Female,Accounting,Budget/Accounting Analyst III,Remote,04-10-11,,Detroit,Michigan
00-4767568,Bartholemy,Schutter,9/27/1975,Male,Services,Service Tech III,Remote,07-06-09,,Scranton,Pennsylvania
00-4872960,Gamaliel,McRoberts,11-10-78,Male,Accounting,Senior Cost Accountant,Remote,12/30/2019,,Lexington,Kentucky
00-4890880,Demetre,Chaulk,3/20/1977,Male,Sales,Account Manager,Headquarters,03-05-14,,Cleveland,Ohio
00-4971801,Temple,Banasevich,5/14/1991,Female,Engineering,Programmer III,Remote,10-11-20,,Louisville,Kentucky
00-5033764,Gabie,Olivier,12/25/1976,Male,Engineering,Senior Developer,Headquarters,6/23/2005,,Cleveland,Ohio
00-5045552,Carlen,Bruhnke,08-06-90,Male,Engineering,Data Coordiator,Headquarters,7/18/2016,,Cleveland,Ohio
00-5070457,Nathaniel,Coolahan,12-02-98,Female,Accounting,Staff Accountant I,Headquarters,7/22/2003,,Cleveland,Ohio
00-5137192,Sarajane,Price,1/28/1970,Male,Accounting,Budget/Accounting Analyst I,Remote,5/24/2016,,Mansfield,Ohio
00-5155617,Hadria,Pallasch,4/13/1987,Male,Engineering,Programmer II,Headquarters,12-02-16,,Cleveland,Ohio
00-5175297,Bethina,Mathissen,1/24/1966,Female,Engineering,Programmer III,Headquarters,12/23/2001,2012-03-28 19:48:37 UTC,Cleveland,Ohio
00-5221572,Joshua,Rubinsohn,04-05-76,Male,Services,Service Tech,Headquarters,07-12-06,,Cleveland,Ohio
00-5273292,Philippa,Garrod,9/14/1986,Female,Product Management,Project Manager,Headquarters,3/29/2012,,Cleveland,Ohio
00-5421994,Sile,Schultheiss,1/23/1986,Female,Accounting,Cost Accountant,Headquarters,12-10-12,2021-10-28 00:45:49 UTC,Cleveland,Ohio
00-5614221,Conroy,Vickars,8/28/1969,Male,Business Development,Business Analyst,Remote,01-03-08,,Pittsburgh,Pennsylvania
00-5623981,Roscoe,Swindells,4/28/1979,Female,Accounting,Tax Accountant,Headquarters,12/22/2012,,Cleveland,Ohio
00-5649238,Antonietta,Obal,11-03-77,Male,Engineering,Software Test Engineer III,Headquarters,2/13/2003,2008-06-24 19:59:00 UTC,Cleveland,Ohio
00-5687686,Yettie,Swanborough,07-03-93,Male,Sales,Solutions Engineer Manager,Headquarters,3/22/2001,,Cleveland,Ohio
00-5880378,Dannie,Thornton-Dewhirst,10/18/2000,Female,Accounting,Staff Accountant IV,Headquarters,12-12-02,2019-05-30 07:37:54 UTC,Cleveland,Ohio
00-5895027,Nessy,Shute,04-05-82,Male,Engineering,Systems Administrator I,Headquarters,4/13/2004,,Cleveland,Ohio
00-5909899,Louise,Domingues,4/26/1977,Male,Research and Development,Senior Quality Engineer,Headquarters,04-05-14,,Cleveland,Ohio
00-5917185,Frasquito,Frape,08-02-72,Male,Engineering,Software Engineer III,Headquarters,6/29/2002,2012-08-16 08:21:32 UTC,Cleveland,Ohio
00-5955583,Leonie,Bridgeman,11/17/1997,Male,Training,Administrative Assistant I,Remote,04-11-09,,Dayton,Ohio
00-5958157,Marijn,Shotboulte,07-11-84,Male,Accounting,Senior Cost Accountant,Headquarters,9/16/2017,,Cleveland,Ohio
00-5965019,Gertrud,Jeavon,06-11-87,Female,Research and Development,Research Assistant I,Remote,3/14/2008,,Cincinnati,Ohio
00-5992394,Gordie,Mariaud,7/24/1990,Male,Accounting,Staff Accountant I,Headquarters,5/29/2011,,Cleveland,Ohio
00-5993032,Corrinne,Very,5/27/1991,Male,Research and Development,Research Assistant I,Headquarters,6/21/2005,2015-03-23 18:00:04 UTC,Cleveland,Ohio
00-6077710,Frank,Sikorsky,02-10-98,Male,Engineering,Business Systems Development Analyst,Remote,08-01-07,,Columbus,Ohio
00-6093562,Linoel,Berrecloth,7/19/1973,Male,Engineering,Data Visualization Specialist,Headquarters,11-06-06,,Cleveland,Ohio
00-6114236,Lucias,Sworder,03-01-97,Male,Engineering,Software Test Engineer IV,Headquarters,10/31/2007,,Cleveland,Ohio
00-6163624,Malvina,Mc Grath,09-12-01,Male,Engineering,Data Visualization Specialist,Headquarters,5/17/2005,2009-11-03 01:38:32 UTC,Cleveland,Ohio
00-6172539,Joanne,Jacob,4/13/1974,Female,Engineering,Senior Developer,Headquarters,02-03-03,,Cleveland,Ohio
00-6252646,Yves,Yurivtsev,9/19/1990,Male,Human Resources,Human Resources Analyst,Headquarters,7/13/2019,,Cleveland,Ohio
00-6338870,Curtice,Kidgell,3/14/1980,Female,Engineering,Senior Developer,Headquarters,3/18/2018,2023-03-24 22:54:39 UTC,Cleveland,Ohio
00-6371948,Ruby,O'Duilleain,05-10-86,Female,Business Development,Research Assistant I,Headquarters,09-07-08,2012-01-09 20:55:22 UTC,Cleveland,Ohio
00-6420231,Joseito,Walaron,5/16/1975,Male,Services,Service Coordinator,Headquarters,11-02-06,,Cleveland,Ohio
00-6460144,Helli,Hothersall,1/24/1990,Male,Engineering,Systems Administrator I,Headquarters,6/22/2012,,Cleveland,Ohio
00-6479395,Aura,Steagall,7/19/1978,Male,Accounting,Staff Accountant I,Headquarters,3/28/2013,2030-02-23 03:54:13 UTC,Cleveland,Ohio
00-6565696,Flory,Ibbitt,03-09-68,Female,Human Resources,HR Manager,Headquarters,8/13/2009,2014-06-03 03:40:16 UTC,Cleveland,Ohio
00-6609229,Leontine,Rammell,8/15/1986,Female,Product Management,Project Manager,Headquarters,11-10-01,,Cleveland,Ohio
00-6666091,Carly,Everall,12/25/1966,Female,Support,Help Desk Technician,Headquarters,01-11-04,,Cleveland,Ohio
00-6675478,Reginald,Gosker,10/13/1979,Female,Engineering,Software Engineer I,Remote,10/17/2020,,Louisville,Kentucky
00-6722855,Kimmi,Moff,03-08-96,Male,Engineering,Web Developer I,Headquarters,04-04-01,,Cleveland,Ohio
00-6768311,Adina,Marcq,1/16/1991,Female,Engineering,Systems Administrator I,Remote,12/18/2007,,Reading,Pennsylvania
00-6790860,Enrica,Cohalan,1/23/1994,Female,Engineering,Data Coordiator,Headquarters,4/26/2009,,Cleveland,Ohio
00-6792940,Valera,Hannent,2/14/1993,Male,Engineering,Database Administrator I,Headquarters,5/29/2017,,Cleveland,Ohio
00-6797967,Albrecht,Geffinger,1/18/1980,Female,Sales,Solutions Engineer Manager,Headquarters,11/19/2018,,Cleveland,Ohio
00-6804149,Orsa,Pafford,12/25/1994,Male,Human Resources,Human Resources Analyst,Headquarters,12/21/2001,,Cleveland,Ohio
00-6902222,Pall,Snedker,04-07-69,Male,Support,Desktop Support Technician,Headquarters,10-04-09,2014-01-31 00:17:22 UTC,Cleveland,Ohio
00-6974128,Eilis,Byford,05-07-66,Male,Engineering,Software Consultant,Headquarters,11-04-14,,Cleveland,Ohio
00-7012064,Maridel,Canario,11/17/1990,Non-Conforming,Engineering,Recruiting Manager,Remote,8/18/2018,,Lima,Ohio
00-7043366,Mellie,Hariot,11/25/1983,Female,Engineering,Programmer III,Headquarters,02-06-13,,Cleveland,Ohio
00-7080550,Stefan,Orht,03-01-88,Male,Business Development,Research Assistant II,Headquarters,04-04-18,,Cleveland,Ohio
00-7080839,Bertie,La Batie,12-04-91,Male,Services,Service Manager,Headquarters,06-12-16,,Cleveland,Ohio
00-7102476,Cammy,Bleakman,08-12-83,Male,Accounting,Staff Accountant I,Headquarters,05-06-03,,Cleveland,Ohio
00-7374971,Theodor,Perot,09-11-89,Male,Engineering,Computer Systems Analyst II,Headquarters,6/13/2009,,Cleveland,Ohio
00-7494159,Lu,Larive,8/13/1999,Female,Human Resources,Recruiter,Headquarters,5/31/2004,2010-12-03 06:19:28 UTC,Cleveland,Ohio
00-7507889,Marietta,Marieton,3/30/1995,Male,Human Resources,Human Resources Analyst II,Headquarters,7/31/2008,,Cleveland,Ohio
00-7598768,Monte,How to preserve,10/20/1972,Female,Engineering,Computer Systems Analyst II,Headquarters,10/16/2016,,Cleveland,Ohio
00-7685590,Emanuele,Scotts,10/19/1986,Non-Conforming,Engineering,Developer II,Headquarters,8/26/2019,,Cleveland,Ohio
00-7693501,Kiley,Ricci,3/15/1972,Female,Training,Trainer II,Headquarters,08-03-03,,Cleveland,Ohio
00-7726076,Pavel,Corsor,2/14/1976,Female,Services,Service Tech II,Headquarters,02-02-17,,Cleveland,Ohio
00-7766529,Nikaniki,Nurdin,6/28/1995,Male,Accounting,Senior Cost Accountant,Remote,6/29/2019,,Toledo,Ohio
00-7800396,Siward,Phelipeaux,3/29/1981,Male,Business Development,Research Assistant II,Remote,02-09-03,2016-01-11 09:20:25 UTC,South Bend,Indiana
00-7802037,Kaylee,Lambdin,11-01-65,Female,Engineering,Research Assistant IV,Headquarters,03-09-03,,Cleveland,Ohio
00-7925080,Chrisy,Risen,7/23/1985,Female,Engineering,Developer IV,Headquarters,02-03-11,2018-06-05 07:01:43 UTC,Cleveland,Ohio
00-8010185,Tab,Lissemore,11/25/2000,Female,Business Development,Research Assistant II,Headquarters,12-03-05,2012-02-21 20:12:05 UTC,Cleveland,Ohio
00-8113601,Rem,Hassey,5/23/1995,Male,Accounting,Budget/Accounting Analyst II,Headquarters,5/29/2008,,Cleveland,Ohio
00-8203294,Brianna,Dudin,2/15/1988,Female,Engineering,Business Systems Development Analyst,Headquarters,12/18/2017,,Cleveland,Ohio
00-8230593,Sheppard,Klosges,10/25/1992,Male,Product Management,Business Analyst,Headquarters,8/22/2010,2017-12-30 08:38:51 UTC,Cleveland,Ohio
00-8250034,Karlen,Duckworth,11-03-81,Male,Human Resources,Human Resources Analyst,Headquarters,5/19/2010,2023-01-17 02:59:42 UTC,Cleveland,Ohio
00-8270076,Raphaela,Clowney,11-02-71,Male,Engineering,Computer Systems Analyst I,Remote,03-06-10,2030-08-03 09:10:37 UTC,Warren,Ohio
00-8302867,Idalia,Sherborne,4/21/1968,Female,Services,Service Tech II,Headquarters,07-07-16,2028-03-12 22:16:52 UTC,Cleveland,Ohio
00-8320940,Terence,MacConnechie,10/26/1965,Male,Engineering,Software Engineer I,Headquarters,08-11-04,,Cleveland,Ohio
00-8429312,Shane,Ousbie,12-12-66,Male,Training,Trainer III,Headquarters,07-04-05,,Cleveland,Ohio
00-8477498,Cammi,Yakebovitch,11/15/1965,Male,Research and Development,Quality Control Specialist,Headquarters,01-04-04,,Cleveland,Ohio
00-8477624,Tomkin,Di Ruggiero,10/24/1993,Male,Sales,Customer Success Manager,Headquarters,2/18/2010,,Cleveland,Ohio
00-8527252,Leanor,Gemnett,7/31/1974,Male,Sales,Account Executive,Headquarters,7/20/2013,,Cleveland,Ohio
00-8536569,Sterling,Prue,3/28/1966,Female,Human Resources,Senior Recruiter,Headquarters,3/22/2004,2005-03-23 03:58:55 UTC,Cleveland,Ohio
00-8541630,Loydie,Platts,7/20/1970,Male,Human Resources,Human Resources Analyst,Remote,06-07-12,,Pittsburgh,Pennsylvania
00-8542295,Darius,Birchenough,09-12-68,Male,Research and Development,Operator,Headquarters,2/16/2018,,Cleveland,Ohio
00-8571626,Jenn,Whitecross,8/31/1972,Male,Training,Content Developer II,Headquarters,01-11-10,,Cleveland,Ohio
00-8586665,Glenna,Owbrick,01-01-93,Male,Accounting,Staff Accountant III,Headquarters,07-07-11,,Cleveland,Ohio
00-8679134,Lindy,Colliver,4/20/1992,Female,Business Development,Business Analyst,Headquarters,1/28/2003,,Cleveland,Ohio
00-8679430,Lorianna,Mitten,10-09-71,Female,Accounting,Accounting Assistant I,Headquarters,02-10-01,2018-11-16 09:54:34 UTC,Cleveland,Ohio
00-8679766,Modesty,O'Spellissey,6/29/1982,Female,Services,Service Tech III,Headquarters,10/15/2009,,Cleveland,Ohio
00-8704487,Lorain,Kibbe,6/19/1983,Female,Accounting,Accountant II,Headquarters,7/27/2015,,Cleveland,Ohio
00-8712138,Gabie,Lawleff,8/30/1968,Female,Training,Senior Trainer,Remote,05-10-04,,Dayton,Ohio
00-8719634,Melanie,Rylands,03-12-72,Male,Accounting,Accounting Assistant III,Headquarters,11/17/2016,2031-07-20 12:13:53 UTC,Cleveland,Ohio
00-8734191,Timothea,Summergill,12-11-83,Female,Training,Administrative Assistant II,Remote,8/27/2004,,Dayton,Ohio
00-8772885,Thorn,Kidston,10/15/1967,Male,Engineering,Developer III,Remote,11/22/2017,2022-03-26 06:01:47 UTC,Cincinnati,Ohio
00-8823459,Irvine,Shillinglaw,11/15/1997,Male,Engineering,Database Administrator II,Headquarters,9/30/2001,,Cleveland,Ohio
00-8842682,Lissi,Copcote,1/21/1993,Female,Engineering,Chief Design Engineer,Remote,08-05-16,,Farmington,Michigan
00-8912428,Brana,Gwin,5/20/1979,Male,Accounting,Senior Cost Accountant,Headquarters,7/15/2019,,Cleveland,Ohio
00-8960230,Mohandis,Piecha,10-04-95,Female,Engineering,Information Systems Manager,Remote,05-04-07,,Troy,Michigan
00-9028931,Caressa,Van Leeuwen,7/14/1976,Female,Engineering,Systems Administrator I,Headquarters,12-02-18,,Cleveland,Ohio
00-9061522,Garrard,Oakenfull,6/13/1996,Male,Sales,Solutions Engineer Manager,Headquarters,10-01-20,,Cleveland,Ohio
00-9089278,Chrissy,Zamudio,03-09-87,Male,Services,Service Tech,Headquarters,2/22/2006,,Cleveland,Ohio
00-9125378,Rosie,Denyakin,12/31/1979,Female,Engineering,Software Test Engineer III,Headquarters,6/30/2020,,Cleveland,Ohio
00-9129949,Margery,Darbyshire,06-07-89,Non-Conforming,Training,Senior Trainer,Remote,4/20/2015,,Cleveland,Ohio
00-9148951,Sybilla,Oleszkiewicz,10/17/1970,Female,Accounting,Budget/Accounting Analyst II,Headquarters,09-03-12,,Cleveland,Ohio
00-9220924,Chrysler,Brekonridge,12/17/1979,Male,Engineering,Systems Administrator I,Remote,9/29/2004,,Detroit,Michigan
00-9244844,Roselin,Warke,03-04-91,Female,Services,Service Tech III,Headquarters,3/31/2009,,Cleveland,Ohio
00-9248315,Lettie,Shute,05-02-81,Female,Engineering,Web Developer I,Headquarters,5/18/2012,,Cleveland,Ohio
00-9256735,Alphonse,Horsewood,03-06-97,Female,Engineering,Data Coordiator,Headquarters,9/16/2001,,Cleveland,Ohio
00-9261338,Sharline,Andrzej,1/17/1974,Male,Accounting,Senior Cost Accountant,Headquarters,5/19/2009,,Cleveland,Ohio
00-9351773,Liesa,Melling,5/16/1997,Female,Auditing,Internal Auditor,Headquarters,10/30/2008,,Cleveland,Ohio
